index,address,token_1,token_0
0,0xa6c5C7D189fA4eB5Af8ba34E63dCDD3a635D433f,ARB,WETH
1,0x14F3cFe5F42dEdb3A13bA823981269240bd2D2d4,WETH,BAL
2,0x5748a6DDA0D17d9A16f7d411D0cf334a3179eBa6,CTX,WETH
3,0x9Fa7314525d5C706213468220C7c9820Cfe629cb,DAI,WETH
4,0xA810024877f9f3133c4739Da253e999246bc1691,FIS,WETH
5,0xdc2167F4A5DeC5401EcEFF1CB55C3573A13F24bD,GMX,WETH
6,0x5c7dE5619f82fF0C513F2ed6794DE402F2386872,GRT,WETH
7,0xaF7c05011bd7B780D804A5C735FDeEa7f352dC64,WETH,LDO
8,0x65Cfd8fB82213971076457756dFEdB6143391983,LINK,WETH
9,0x8868e3138E9a7B74aF6d7ddCE71dE35cC60c6073,LQTY,WETH
10,0x3FEe6E8FBDE48B727f82C55639ed2dD0cd9BA642,LUSD,WETH
11,0xE28881d63f4F0577d4f75eA04F3a3e75FEFfC491,WETH,SPELL
12,0x54B26fAf3671677C19F70c4B879A6f7B898F732c,USDC,WETH
13,0x84652bb2539513BAf36e225c930Fdd8eaa63CE27,USDC.E,WETH
14,0x97b192198d164C2a1834295e302B713bc32C8F1d,USDT,WETH
15,0x96059759C6492fb4e8a9777b65f307F2C811a34F,WETH,WBTC
16,0x2b07A6c54d3A40513ebc3650b05F953162Af0d7b,WETH,RDNT
17,0xE8b2C9cBfd52CF9A157724e6416440566fA03150,WETH,MAGIC
18,0xBfCa4230115DE8341F3A3d5e8845fFb3337B2Be3,WETH,PENDLE
19,0xe08E804F758E858C0345232494826a5Ae1814B0d,WETH,EMP
20,0x95BFf4c322e0d39CB34551B122CE4C779E0547bd,WETH,PREMIA
21,0xB77bcA426D25B6cb183f2A8D4C2268182998551b,WETH,CYBER
22,0x4c0A68dd92449Fc06c1A651E9eb1dFfB61D64e18,WETH,VELA
23,0xf82105aA473560CfBF8Cbc6Fd83dB14Eb4028117,WETH,GRAIL
24,0xa13382A15098Bbb210392e17888Ff022333c5C64,WETH,SPA
25,0x643ED10d2C9d5921E8157CaF94aC13CFF4EAcbC7,USDC.E,AAVE
26,0xF60D56B5382337DEC47ED5C7053B8FEe629a54b5,DAI,ARB
27,0x7Ee0421fE48BB2c299EDD89761d0eD5B62f1664D,GMX,ARB
28,0xD40b7B05AB39A39658de1D7c9301A9ed765B3472,USDC.E,ARB
29,0x669930dcb297575cdA5663a55581D0a331b3783C,USDT,ARB
30,0xE6132cd9F7b7016087d3C2371130Da0771817Bad,ARB,PENDLE
31,0xCD308f50e9EC756Eb2eD1d78A4950E69592620CB,ARB,VELA
32,0xC9da32C3b444F15412F7FeAC6104d1E258D23B1b,ARB,GRAIL
33,0x50fe990d035A90652BAd87e32376b98DaD9281e4,YFI,COMP
34,0x01efEd58B534d7a7464359A6F8d14D986125816B,USDC.E,DAI
35,0x12999d79055435b10E20c2db079E445D187253f3,USDT,DAI
36,0xDa7b0411c753c068Cbbe87059bcaE2446358f9Ed,DAI,WBTC
37,0x4fD24EcC19d3Bd099033030942d26EfbaBa9FDd4,DAI,VELA
38,0xe9f4035c5a44AcfF29d1Ce1F4c41a7553268Bf87,DAI,GRAIL
39,0x913398d79438e8D709211cFC3DC8566F6C67e1A8,USDC.E,GMX
40,0x1001538aD2b88DE5B4C1CcC18a741B5b859B895A,USDT,GMX
41,0x0F5ca9C7F9e8a36A7C2e16C02dc929CF8EA8c293,GMX,GRAIL
42,0x61F323A49Df21EdDFeB470ceD01Ef1AB414Cc7Cc,GMX,SPA
43,0x18523Dc408bf99e264e419aC6F84e43d6b8c8A27,USDC.E,LDO
44,0xF88A64e7A6E8F6cE94010AE6Bf1551441Ff711cd,USDC,LUSD
45,0x1e5b183b589A1d30aE5F6fDB8436F945989828Ca,USDC.E,LUSD
46,0xDEE78cDE04b8aA7397B3F6c5Ed4946cF7c36333c,USDC.E,PEPE
47,0x9a512173Be4FefA9d85e6f883403D9c8525FFC0b,USDT,SPELL
48,0x762a35Fdd91Ef538Eb2c5E3E3e77eD9203D92B00,SPELL,VELA
49,0xc1ad239594c165bd4D8847D281232172a4520818,USDC.E,USDC
50,0x935763d7c14925690B89B14d738EcD8Bf37db39a,USDT,USDC
51,0xad94D6fBFdFC29DEE39417A822994D53a4f287e9,USDC,WBTC
52,0x84a84cD6cE1787EFB6613a1ED2997816BE56542b,USDC,GRAIL
53,0x1C31fB3359357f6436565cCb3E982Bc6Bf4189ae,USDC.E,USDT
54,0xB4E3A78Bf614825d0d2908E3221b28D8C085e6aB,USDC.E,PENDLE
55,0x367Eb9DF4c366438Ae0E6F90748ca7Dc7a50001d,USDC.E,VELA
56,0x87425D8812f44726091831a9A109f4bDc3eA34b4,USDC.E,GRAIL
57,0x49928CFE5ca3DC4c9E893EDa555AE82a11933D8C,USDC.E,SPA
58,0x555D70f231952c027661F7739e9eCBCcbC3c60aE,USDT,VELA
59,0xeAeB1A1597Cb77C61501A68c06F14AC645b5B6a8,USDT,GRAIL
60,0xCD4de87C9aFFe8Da7476BF730678aEe78A876129,GRAIL,PENDLE
61,0x817Eb7D363B2Df21E499aeDCAeF7Ad51fAdA070c,GRAIL,VELA
