index,address,token_1,token_0
76,0xfbcBBBB551A5FC5Ad7796ab6BBfF01Fb0DD2E180,USDT,DAI
77,0x5933402eF279a609a4287E4e88a4cf0D31a413AD,DAI,WBTC
78,0x3c9cb8aA61f45bcd9a54FEDa5A25057d58f1A329,DAI,MAGIC
79,0x75A7cbA1685E01955A6Df276c4De0f714Ed027e3,DAI,DODO
80,0x893559289f885907B27dFa7bA3FCCE915F91339C,DAI,SPA
81,0xF557efADE3731D7fa10B37edBAdb022F7943fC72,GMX,SUSHI
82,0xB2FA688396F35c93Ba4f054866eF8527902fec07,USDC.E,GMX
83,0x1BE628aEAFd210290c261c2b979624B17eBF8750,USDT,GMX
84,0x4bDd9CA02aa538997793F2Bc1E92F1A8Eb4abf73,LINK,SUSHI
85,0x731554bf0DF41475c323298eBbB49358DA76f311,UNI,LINK
86,0x6F6BA3571A607E62F4B7F722E019925269E90f5A,USDC.E,LINK
87,0xEc1E2B352f29adc8f0854dEe2dC557d2763DbfBe,USDT,LINK
88,0x5926bAcD2b4e6aC2dfdb647c78eA12A5a3124f86,LINK,WBTC
89,0x032d144E4179437801F751bD57E278fA0a5d75f9,LINK,MAGIC
90,0x2420d60DFB1e5d9cB665B29F6bB91b2Bb9F85c36,LINK,PREMIA
91,0x9f768a1AfA69dca42FCD6a5745b3eC027889De0C,LINK,SPA
92,0x3C640C2A889ABE9a73a056e8a62aBd3A78981513,USDT,LPT
93,0xDD1eeCFd62Cabedf6EdD997f9e811F2D9AeDE1C3,MAGIC,LPT
94,0x7A1c260B2B98262B8014D3a676357Ca02e107fc9,SUSHI,SPELL
95,0x17FF694698A72Fc5Fba10f34EF5E16cfE7972657,USDC.E,SPELL
96,0x28F0f6BBE111aA0A190966c995E6DFAfdD46e715,USDT,SPELL
97,0x22559006627ECD43F0bF404F7ac67c57ad0C70d6,MAGIC,SPELL
98,0xC377EC23c7230fdb798d08bd2B5DA825e919963B,DODO,SPELL
99,0x67DAcb32C6F8281a9BE837806b6F5512AC4d84e9,SPA,SPELL
100,0x7b0da62768BCA02945164418d98610A8223DdF8d,UNI,SUSHI
101,0x5B9400dE4505c691D0F3969519Af0a984187CD9B,SUSHI,USDC
102,0xC1e4E50D5f7500d5915296CFF37dB53D4f9EB67e,USDC.E,SUSHI
103,0xBdd6c6A2C34B27A17Eb4b884afb72277451DaE6E,USDT,SUSHI
104,0x34cECAcb49EE78CC815094ff2fDF5695B8350af6,SUSHI,MAGIC
105,0x0beA896A49171f5cCd3A3d4a8BEABEf9BFadA683,USDC.E,UNI
106,0xa0EB018637F5d17daA3c624025b8872e96e97002,USDT,UNI
107,0x554f3841a339C3C051e734311Ee7d8b0cdBfcE77,UNI,MAGIC
108,0xdd32B0681c451eC870ae2B8ef85A423b3289482E,UNI,SPA
109,0xc221597Efd286d3C9f234e47E9c2668bC2097834,USDC.E,USDC
110,0x8CebFB915F7aa8474ABcF0fff11d869a256EB887,USDT,USDC
111,0x8165c70b01b7807351EF0c5ffD3EF010cAbC16fB,USDC.E,USDT
112,0xFf13348778cc2cEd614F6F73A8e488AC11292f25,USDC.E,WBTC
113,0xa9556426bdf92d02C613f2FD2e09943Fe6760395,USDC.E,WOO
114,0xb93E98Cd17b5129E25013955443CAEC0cDc915ba,USDC.E,YFI
115,0x036FE2396119085edfa025Ccd9562FD7d742056f,USDC.E,MAGIC
116,0xb9Cf3000A50E824b022756DdecDcD62139057ec5,USDC.E,MCB
117,0x2E33da6d7D28A24492d39ED1dBc9e693B6189Ec2,USDC.E,CYBER
118,0x853B0baE30c25F4D0f849Bb0B3659881e98FDca0,USDC.E,DODO
119,0x0f8b984D6Db8f7d1325b56e6D14A20ba7D3f61Ba,USDC.E,DF
120,0xA232DD6bEd183722CdEEd2C2c9Ff03C5b19D0b9B,USDC.E,SPA
121,0xbdEE369abf5C3dfFF5DC65841e939747BA706a5d,USDT,WBTC
122,0x844149038228De75F44d157044eB1da958C8e1E5,USDT,MAGIC
123,0x1Ac2995E9e515013CE6420f789b4cB60Cf06ef9E,USDT,DODO
124,0x0C4De24BfBc86D1b6EF742F6022b84262A32d5C8,USDT,LON
125,0x8325536B089dDBA18bB7266617c16768aC609e43,USDT,SPA
126,0xcCd5a69669AcCA428C688c1b986238B36f175f28,MAGIC,WBTC
127,0x3aDf97dD981500bCe86d3c0287B2008dB1221E86,DODO,MAGIC
128,0xecbEb495D9B985CC60dDDF1Ad2EB860E859A051A,SPA,MAGIC
129,0x8e48eFb951a6a77340D3ce9Ba39c622a358AbB54,AGEUR,DODO
