index,address,token_1,token_0,fee
74,0x522DdAEfe158324E9Cea314a7F4E0BfDef8af199,WETH,MATIC,100
75,0xf327cb42c771D6Aa361b1e417E5759330bd55721,WETH,MKR,30
76,0x568b6e64D9cC7E323fCf27bd7d58ed9c452a60df,WETH,MKR,100
77,0x8B2199a7577e6D588421553Ee002A324130CCe32,OCEAN,WETH,5
78,0x8E905D2982F25761dBE05150F918671817Ecdaeb,OCEAN,WETH,30
79,0x1e35dd8af886DFC62dAfE63fa6c43DAfDf518Bb5,OCEAN,WETH,100
80,0x0CC2aBcCe8482Dc78BB93430bD70DcCFE0a1b295,PAXG,WETH,30
81,0x81c752c340259D9D2C663dF2cF4eE6d5344C6650,PAXG,WETH,100
82,0xDEf325044F0413018245f9AC8d6263083C6DE48f,WETH,PEPE,30
83,0x558CbA67Bd9d7e4D87E52587303f75Cece4c2849,WETH,PEPE,100
84,0x6e10F07D945CCC3FECDcD60C651B83A815f6b5Ae,POND,WETH,100
85,0xC0Fcceb9b5C5cBf8ab8A14F09bCaD5d0301Bbe5E,WETH,POWR,30
86,0x5C2727E1d935711Db890F656E4b5E913d2CDE083,QNT,WETH,100
87,0xfA43f239694fCCa4Af26AB42645C8Be3bdA95909,RAI,WETH,5
88,0x36F025251EB65e8b3403ef57c709862B45EAC3E7,RAI,WETH,30
89,0xA2aB9d2B1B8EFA8c41DA511AC3E0AB94DF59411E,RAI,WETH,100
90,0x2623F6Cd50833408a8C8b8Ad57E11A7CAB3926bD,RGT,WETH,30
91,0xFF42eDfe9291ed32981133c1614f82A56bf67A51,SAND,WETH,100
92,0xBA575365bf122cAEB073093968c17376eeA59BC1,WETH,SNT,30
93,0x1127a23D43c7C29869b562A94da9f8ff5bFC6667,SNX,WETH,5
94,0x7efa7C2d9082EA73fC6457CA0a7AE62C69E1AB81,SNX,WETH,30
95,0x84215194909907C794Ee28516b973361B574C899,SNX,WETH,100
96,0xA9778a2fC5966C297ad034ee211083081f1a12C5,SOCKS,WETH,100
97,0x00822BA38A39b79cbC5b7f62BA1A6886A45F9e4c,SOL,WETH,5
98,0xAdaDD7137d70d0AFb3d5D05D75bBdF959F9EaA6a,WETH,SPELL,5
99,0x02643eA06e160344dD670dA34AFDab165208e80f,WETH,SPELL,30
100,0x5BBa769e9e1FEF856aF8C2717182FCA1FE6d0157,WETH,SPELL,100
101,0x2Fe69fc0383cA71f5D76C4C858540cb2be2E10Be,STG,WETH,30
102,0xBF42Aa53203c1c9743c2F222553302A55df13C7A,STORJ,WETH,100
103,0x116Ee81AD059774366EC4512d3Db766f5895b548,SUSD,WETH,5
104,0x8C4dDA5cF930D81E1Cae8FFCB45177E93041A67A,SUSHI,WETH,1
105,0x19B7b895e534EB8991d00E0bF6c0785c829445b9,SUSHI,WETH,5
106,0xEB79e6aBFb3DCf64DA8B0967C3C61fdf57E84542,SUSHI,WETH,30
107,0x44CB63F1474Ac259D0CDeCdC87321c4D335424E5,SUSHI,WETH,100
108,0x6e2ed95ca823a76C1A13E98361E33FAC1Bd91449,WETH,SYN,100
109,0xB5b29C460a215a962957fEF6C1B89EAd679669d3,WETH,T,100
110,0x0b59edD1f6DEa7B58eb0B2919Cb194C24C2d26b4,WETH,TBTC,5
111,0xad08DFAde6300AF92299aE8f7dc0658bbAD5A547,WETH,TBTC,30
112,0x7548B19F14866fF4aEF1057d826A0Cf1f9022051,UMA,WETH,30
113,0x25857f9150515696a97687Ebec20601139AD4FA1,UNI,WETH,1
